Dataset,Model,Loss,Accuracy,Precision,Recall,F1-Score,ROC_AUC,PR_AUC
aps_failure,logistic_regression,power_scaled_adaptive_ce,0.99,0.8189910979228486,0.736,0.7752808988764045,0.9776039253333334,0.8258458153285327
bank_marketing,logistic_regression,standard_ce,0.902241226776762,0.6537102473498233,0.3497164461247637,0.45566502463054187,0.9051534344418485,0.5482631832591061
bank_marketing,logistic_regression,weighted_ce_inv,0.8524034208198171,0.42857142857142855,0.7844990548204159,0.5543187889581478,0.906083646249304,0.5404303851350171
bank_marketing,logistic_regression,weighted_ce_inv_sqrt,0.8962695370097317,0.5519630484988453,0.6023944549464398,0.5760771316661645,0.9068102015946442,0.544777064819015
bank_marketing,logistic_regression,class_balanced_ce,0.9021675022117369,0.6533018867924528,0.34908632640201637,0.4550308008213552,0.9051779510813073,0.5477586061637854
bank_marketing,logistic_regression,focal_loss,0.8984075493954585,0.56478611283323,0.5740390674228103,0.569375,0.9068674947714058,0.5458599427550177
bank_marketing,logistic_regression,adaptive_ce,0.903420819817163,0.642051282051282,0.39445494643982354,0.4886807181889149,0.9054097017182533,0.5476141684762716
bank_marketing,logistic_regression,power_scaled_adaptive_ce,0.9026098496018874,0.6067415730337079,0.4763705103969754,0.5337098482174374,0.9060332977000289,0.5467898159289759
telco_churn,logistic_regression,standard_ce,0.8088026502602934,0.6666666666666666,0.5597147950089126,0.6085271317829457,0.844741188415385,0.639413967027363
telco_churn,logistic_regression,weighted_ce_inv,0.7444391859914813,0.512,0.7985739750445633,0.6239554317548747,0.8446596422073984,0.6427349792802737
telco_churn,logistic_regression,weighted_ce_inv_sqrt,0.779460482725982,0.5705794947994056,0.6844919786096256,0.6223662884927067,0.843184919234798,0.6430385728335493
telco_churn,logistic_regression,class_balanced_ce,0.8088026502602934,0.6666666666666666,0.5597147950089126,0.6085271317829457,0.8447320001102596,0.639318468063745
telco_churn,logistic_regression,focal_loss,0.7870326549929011,0.5855161787365177,0.6773618538324421,0.628099173553719,0.844122126357572,0.6428053765042656
telco_churn,logistic_regression,adaptive_ce,0.7974443918599148,0.6233766233766234,0.5989304812834224,0.610909090909091,0.8448468539243251,0.6418449794368796
telco_churn,logistic_regression,power_scaled_adaptive_ce,0.795551348793185,0.618348623853211,0.6007130124777184,0.6094032549728752,0.8447457825679476,0.640547589371965
german_credit,logistic_regression,standard_ce,0.7733333333333333,0.6571428571428571,0.5111111111111111,0.575,0.7958201058201059,0.637248333678867
german_credit,logistic_regression,weighted_ce_inv,0.7366666666666667,0.5426356589147286,0.7777777777777778,0.639269406392694,0.7974074074074073,0.6317213386866126
german_credit,logistic_regression,weighted_ce_inv_sqrt,0.76,0.5957446808510638,0.6222222222222222,0.6086956521739131,0.7997354497354497,0.641782855928863
german_credit,logistic_regression,class_balanced_ce,0.7733333333333333,0.6571428571428571,0.5111111111111111,0.575,0.7963492063492064,0.6385413667233935
german_credit,logistic_regression,focal_loss,0.7433333333333333,0.5714285714285714,0.5777777777777777,0.574585635359116,0.7893650793650794,0.6366269378810178
german_credit,logistic_regression,adaptive_ce,0.78,0.6538461538461539,0.5666666666666667,0.6071428571428571,0.7984126984126984,0.6418520566546108
german_credit,logistic_regression,power_scaled_adaptive_ce,0.7566666666666667,0.5934065934065934,0.6,0.5966850828729282,0.7982539682539683,0.6385484870118068
secom,logistic_regression,standard_ce,0.9150743099787686,0.23529411764705882,0.12903225806451613,0.16666666666666666,0.6948680351906158,0.1394389524290953
secom,logistic_regression,weighted_ce_inv,0.8089171974522293,0.13580246913580246,0.3548387096774194,0.19642857142857142,0.6906158357771262,0.13507056233198908
secom,logistic_regression,weighted_ce_inv_sqrt,0.9023354564755839,0.2,0.16129032258064516,0.17857142857142858,0.69024926686217,0.1372932709369647
secom,logistic_regression,class_balanced_ce,0.9065817409766455,0.19047619047619047,0.12903225806451613,0.15384615384615385,0.6918621700879765,0.1378326987935141
secom,logistic_regression,focal_loss,0.9044585987261147,0.25,0.22580645161290322,0.23728813559322035,0.7468475073313783,0.17017233654355335
secom,logistic_regression,adaptive_ce,0.910828025477707,0.17647058823529413,0.0967741935483871,0.125,0.6926686217008798,0.13706659151079612
secom,logistic_regression,power_scaled_adaptive_ce,0.9087048832271762,0.16666666666666666,0.0967741935483871,0.12244897959183673,0.6951612903225807,0.13880661076454545
credit_card_default,logistic_regression,standard_ce,0.8088888888888889,0.698389458272328,0.2395781014565545,0.3567688855646971,0.7163039427172597,0.49826774920100975
credit_card_default,logistic_regression,weighted_ce_inv,0.7783333333333333,0.4990128331688055,0.5077850326469111,0.5033607169529499,0.709975815696243,0.4912095386270966
credit_card_default,logistic_regression,weighted_ce_inv_sqrt,0.809,0.601644245142003,0.40431943746860877,0.48362871733253227,0.7124300399020589,0.4952740799564175
credit_card_default,logistic_regression,class_balanced_ce,0.8088888888888889,0.698389458272328,0.2395781014565545,0.3567688855646971,0.7161192766507638,0.49815864944426264
credit_card_default,logistic_regression,focal_loss,0.8065555555555556,0.5896700143472023,0.41285786037167255,0.485672082717873,0.711406314862881,0.49455786219100495
credit_card_default,logistic_regression,adaptive_ce,0.8116666666666666,0.6757719714964371,0.28578603716725265,0.4016943169784681,0.7162173065999164,0.4979323657165494
credit_card_default,logistic_regression,power_scaled_adaptive_ce,0.8104444444444444,0.6278026905829597,0.3515821195379206,0.4507405022537025,0.7162661782558537,0.49515564690604347
steel_faults,logistic_regression,standard_ce,0.7169811320754716,0.6920577150535969,0.7193533902716842,0.7041602227644661,0.9286242850372376,0.7226380340898947
steel_faults,logistic_regression,weighted_ce_inv,0.6415094339622641,0.6129401434746005,0.7439919968645208,0.6425861142171654,0.9226150011624782,0.7192231303092919
steel_faults,logistic_regression,weighted_ce_inv_sqrt,0.6895368782161235,0.6621025412439013,0.7449695768136004,0.6909337482722331,0.9272764393182854,0.7223678068978897
steel_faults,logistic_regression,class_balanced_ce,0.7066895368782161,0.6804816222701631,0.7238532922228688,0.6996131814516184,0.9247525101598869,0.7285829304050477
steel_faults,logistic_regression,focal_loss,0.6415094339622641,0.6168043822303456,0.7412460968473147,0.6444302151105313,0.9229874995733786,0.7212412252718041
steel_faults,logistic_regression,adaptive_ce,0.7135506003430532,0.686614366847451,0.7359863426157921,0.7074895523787676,0.9284498543939044,0.7222260652148363
steel_faults,logistic_regression,power_scaled_adaptive_ce,0.725557461406518,0.700145233445968,0.7399899897337506,0.7177381967914742,0.9287401306602836,0.7228765255243469
yeast,logistic_regression,standard_ce,0.5762331838565022,0.6143315209837057,0.5828189732012147,0.5955918606439304,0.8511909366001653,0.6033858805206382
yeast,logistic_regression,weighted_ce_inv,0.4641255605381166,0.4235866891939389,0.5601015792827359,0.4448061045665348,0.842720265062678,0.5495488398856623
yeast,logistic_regression,weighted_ce_inv_sqrt,0.547085201793722,0.5057914906278755,0.5575693730920502,0.5256636994537585,0.8533461362302767,0.5935628609213299
yeast,logistic_regression,class_balanced_ce,0.5538116591928252,0.5267382843393255,0.5584062546072461,0.5374857149922143,0.8553592666058965,0.5937674077714633
