Dataset,Model,Loss,Accuracy,Precision,Recall,F1-Score,ROC_AUC,PR_AUC
glass,xgboost_gblinear,power_scaled_adaptive_ce,0.6615384615384615,0.6575396825396825,0.7581780538302277,0.6876673666147349,0.9177586203988728,0.7368172605955873
steel_faults,xgboost_gblinear,standard_ce,0.7152658662092625,0.7024003286501783,0.719159964,0.7083552184495752,0.9266783593065757,0.731641597
steel_faults,xgboost_gblinear,weighted_ce_inv,0.6312178387650086,0.6010004067110524,0.7305002423497279,0.6283977730751159,0.9219989483744077,0.7184931712829836
steel_faults,xgboost_gblinear,weighted_ce_inv_sqrt,0.6912521440823327,0.6606351513050513,0.74800909,0.6900446238931778,0.9270654865528076,0.7243356327714798
steel_faults,xgboost_gblinear,class_balanced_ce,0.7049742710120068,0.6765557783807166,0.7244717067642545,0.6975385149162866,0.9269368063626329,0.727037016
steel_faults,xgboost_gblinear,focal_loss,0.6620926243567753,0.6503696827177585,0.6957911700186895,0.6582596821671817,0.9148299042040959,0.6933373712029846
steel_faults,xgboost_gblinear,adaptive_ce,0.7032590051457976,0.6787358149853516,0.7308365768899687,0.7004471471359166,0.9259146725823949,0.726090735
steel_faults,xgboost_gblinear,power_scaled_adaptive_ce,0.7084048027444254,0.6793212770355471,0.7362373656563282,0.7022508616176909,0.9271505734661443,0.7258744087678956
yeast,xgboost_gblinear,standard_ce,0.5807174887892377,0.5971500971210695,0.5728776298580215,0.5824158052050533,0.8532847874860441,0.5980382143744275
yeast,xgboost_gblinear,weighted_ce_inv,0.48654708520179374,0.4275036951352741,0.5732771673946274,0.45790078173914245,0.8388260994705469,0.5563607769574042
yeast,xgboost_gblinear,weighted_ce_inv_sqrt,0.5605381165919282,0.5001324891324892,0.572447776,0.525522458,0.8550538618065915,0.5931100534873547
yeast,xgboost_gblinear,class_balanced_ce,0.5739910313901345,0.5443144883285729,0.577139525,0.5552759411798582,0.8552212967023568,0.599774253
yeast,xgboost_gblinear,focal_loss,0.47085201793721976,0.4579805303985632,0.5438004107806812,0.4661111363731396,0.84232893,0.5676648662665345
yeast,xgboost_gblinear,adaptive_ce,0.5650224215246636,0.5253786789835552,0.5666179910609683,0.5406862780545645,0.8555653895623585,0.5993130493915002
yeast,xgboost_gblinear,power_scaled_adaptive_ce,0.5582959641255605,0.5027497311925326,0.5747370593855865,0.5283153027153346,0.8550387265068397,0.59399635
page_blocks,xgboost_gblinear,standard_ce,0.9646772228989038,0.8506481829866532,0.7826023313336746,0.8142601709416362,0.9797006548268807,0.8772288739115955
page_blocks,xgboost_gblinear,weighted_ce_inv,0.9074299634591961,0.6170025350658969,0.9268156718902988,0.7129757293385024,0.9769028685812536,0.8458971730751109
page_blocks,xgboost_gblinear,weighted_ce_inv_sqrt,0.060292326,0.012058465286236298,0.2,0.022745548535324525,0.5,0.2
page_blocks,xgboost_gblinear,class_balanced_ce,0.9658952496954933,0.8566200330111318,0.7940309027622461,0.8233925647980701,0.9809295250239188,0.8915697025862798
page_blocks,xgboost_gblinear,focal_loss,0.9464068209500609,0.7202711920517446,0.8868582826791782,0.7850662657135318,0.9755914542507347,0.8555434135958666
page_blocks,xgboost_gblinear,adaptive_ce,0.9622411693057247,0.8359765756459605,0.7932167915003736,0.8135346325499778,0.9812889873953237,0.8890536508440195
page_blocks,xgboost_gblinear,power_scaled_adaptive_ce,0.9610231425091352,0.8377519169847911,0.7891763874599695,0.8122190212444828,0.9732923576626746,0.8166228378167484
credit_card_fraud,xgboost_gblinear,power_scaled_inv_ce,0.999157333,0.858490566,0.614864865,0.716535433,0.956329702,0.710087691
aps_failure,xgboost_gblinear,power_scaled_inv_ce,0.9895625,0.833333333,0.693333333,0.756914119,0.974203733,0.809897898
bank_marketing,xgboost_gblinear,power_scaled_inv_ce,0.902241227,0.653710247,0.349716446,0.455665025,0.905203915,0.548182474
telco_churn,xgboost_gblinear,power_scaled_inv_ce,0.805489825,0.662337662,0.545454545,0.598240469,0.843333081,0.639576833
german_credit,xgboost_gblinear,power_scaled_inv_ce,0.77,0.647887324,0.511111111,0.571428571,0.796772487,0.637955102
secom,xgboost_gblinear,power_scaled_inv_ce,0.91507431,0.235294118,0.129032258,0.166666667,0.688416422,0.137068376
credit_card_default,xgboost_gblinear,power_scaled_inv_ce,0.809,0.698830409,0.240080362,0.357383178,0.716031207,0.49816927
steel_faults,xgboost_gblinear,power_scaled_inv_ce,0.7135506,0.701216949,0.718452751,0.707565783,0.926356351,0.729146949
yeast,xgboost_gblinear,power_scaled_inv_ce,0.576233184,0.599435679,0.569466951,0.581524162,0.85436073,0.596125859
page_blocks,xgboost_gblinear,power_scaled_inv_ce,0.964677223,0.850648183,0.782602331,0.814260171,0.979680449,0.88164712
